,Date Of Upload,Author,Vertical,Headline,Description
45,"August 01, 2015 16:07 IST",AP,International,New Afghan Taliban leader promises to continue insurgency,"The new leader of the Taliban is seen as close to Pakistan, which is believed to have sheltered and supported the insurgents through the war"
46,"August 01, 2015 15:47 IST",Reuters,International,Yemeni Vice-President arrives in Aden: airport official,Sources close to Mr. Bahah said the Vice President wanted to bolster efforts to restore normal life to the city
47,"August 01, 2015 15:33 IST",Reuters,International,Syrian army advances on plain after rebel offensive: monitor,The military is battling insurgents including al-Qaeda's Syria wing Nusra Front and the Islamist group Ahrar al-Sham for control of Sahl al-Ghab plain
48,"August 01, 2015 11:06 IST",Reuters,International,MH370 debris arrives in France for analysis,"Liow remained cautious, however, saying Malaysia is waiting for a confirmation from French investigators."
49,"August 01, 2015 09:21 IST",AP,International,"Kerry off to West Asia with Egypt, Iran deal, Syria on agenda","After leaving the Middle East, Mr. Kerry will travel to Southeast Asia, stopping in Singapore, Malaysia and Vietnam."
50,"August 01, 2015 06:54 IST",AP,International,11 killed as Colombian military plane crashes,No Description
51,"August 01, 2015 03:21 IST",AP,International,U.K. plane crash: 4 feared dead,No Description
52,"August 01, 2015 02:41 IST",T. Ramakrishnan,International,"One killed, 12 injured in Colombo shooting",Gunmen strike at rally of Finance Minister Ravi Karunanayake
53,"August 01, 2015 01:00 IST",Narayan Lakshman,International,"U.S. govt. takes custody of Indian child, arrests father",No Description
54,"March 29, 2016 12:32 IST",Swetha ramesh,Fitness,Finding the right fit for running shoes,"Shoes are an integral part of your running arsenal, and there’s help at hand to get the perfect match for you"
55,"March 29, 2016 12:32 IST",V. P. Senthil Kumar,Fitness,Why running is always better with company,No Description
56,"March 29, 2016 12:32 IST",Smriti Kirubanandan,Fitness,Light on your pocket: Eating healthy on a budget,"Staying healthy need not be expensive, and it won’t be, if you follow these guidelines."
57,"August 01, 2015 12:29 IST",PTI,Entertainment,Kangana is talented and wonderful: Amitabh Bachchan,No Description
58,"March 29, 2016 12:22 IST",PTI,Entertainment,Lupita in Broadway production,No Description
59,"March 29, 2016 12:22 IST",IANS,Entertainment,Rani speaks of marital bliss,No Description
60,"March 29, 2016 12:22 IST",Mini Anthikad Chhibber,Entertainment,This is in my DNA,Pixels’ 56-year-old director tries to recreate the edgy feeling of the 1980s in his latest project.
61,"April 21, 2017 17:59 IST",Internet Desk,Specials,Indians in conflict zones,No Description
62,"March 29, 2016 12:32 IST",Randor Guy,Cinema,Athisaya Penn (1959 ),"TAMILStarring Vyjayanthimala, A.Nageswara Rao, R.S.Manohar, Madhuri Devi, K.Sarangapani, M.S.Draupathi, ‘Javert’ N. Seetharaman, Kamini, V.P.S.Mani, M.S.Karuppaiah, K.S.Angamuthu, V.M.Ezhumalai, Gajakarnam, S.G.Easwaran, Kalyanam, V.Seetharaman and S.A.Asokan (Guest artiste)"
63,"March 29, 2016 12:32 IST",Karthik Srinivasa,Cinema,Hitman,No Description
64,"March 29, 2016 12:32 IST",Naman Ramachandran,Cinema,Full steam ahead,The writer tracks a few films on trains
65,"March 29, 2016 12:31 IST",Sudhir Srinivasan,Cinema,Interview of Nasser's son: Baasha is back,"Nasser’s son Luthfudeen Baasha,currently featuring in Idhu Enna Maayam, tells sudhir srinivasan that he’s grown as an actor"
66,"March 29, 2016 12:31 IST",Sreedhar Pillai,Cinema,Kollywood’s rising stars,"Younger heroes like Dhanush and Sivakarthikeyan are breathing down the neck of superstars like Vijay, Ajith and Suriya"
67,"March 29, 2016 12:31 IST",Vishal Menon,Cinema,‘I let my characters approach me’,Vinay Pathak plays a real-life freedom fighter in the biopic Gour Hari Dastaan.
68,"March 29, 2016 12:31 IST",Venky Vembu,Cinema,Revenge of the nerds,No Description
69,"March 29, 2016 12:43 IST",Joginder Tuteja,Cinema,A record-breaking year,"With films such as Bajrangi Bhaijaan, Baahubali and Tanu Weds Manu Returns becoming blockbusters, joginder tuteja takes stock of the box office records that tumbled along the way"
70,"March 29, 2016 12:31 IST",Bhargavii Mani,Cinema,Eyes right,"In this column, the photographer writes about how this photo came to be"
71,"March 29, 2016 12:31 IST",Vishal Menon,Cinema,High on laughs,"As Vasuvum Saravananum Onna Padichavanga gets ready to release, director Rajesh and actor Arya talk to vishal menon about their own nanbenda sentiments and the logic behind their ‘Tasmac scenes’"
