,Date Of Upload,Author,Vertical,Headline,Description
3711,"August 06, 2015 00:00 IST",Special Correspondent,Thiruvananthapuram,CM owns up for PSC faux pas,No Description
3712,"August 06, 2015 00:00 IST",R. K. Roshni,Thiruvananthapuram,Teachers rush to cover portions for Onam exams,No Description
3713,"August 06, 2015 00:00 IST",Special Correspondent,Thiruvananthapuram,Rs.300 crore for rubber and latex procurement,No Description
3714,"August 06, 2015 00:00 IST",Special Correspondent,Thiruvananthapuram,State to protect 491 IED teachers,No Description
3715,"August 06, 2015 00:00 IST",Special Correspondent,Thiruvananthapuram,The Hindu workshop for Civil Services aspirants,No Description
3716,"August 06, 2015 00:00 IST",Staff Reporter,Thiruvananthapuram,Nothing can stop his indomitable spirit,No Description
3717,"August 06, 2015 00:00 IST",Staff Reporter,Thiruvananthapuram,IITian turns toy maker,No Description
3718,"August 06, 2015 14:16 IST",Agencies,Football,FIFA rankings: Argentina maintains No.1 position,No Description
3719,"August 06, 2015 00:00 IST",C. Jaisankar,Tiruchirapalli,"Plan to procure 9,250 tonnes of fertilizer",he consignment is expected to be imported through the Tamil Nadu Cooperative Marketing Federation (TANFED).
3720,"August 06, 2015 00:00 IST",G. Prasad,Tiruchirapalli,Veteran sees sunny days ahead for basketball,The former Indian basketball team captain C.V. Sunny expressed confidence that basketball was on course to becoming one of the biggest sports in the country.
3721,"August 06, 2015 00:00 IST",Special Correspondent,Tiruchirapalli,Anti-liquor protests continue,Ten Law College students courted arrest when they assembled in front of an outlet at Woraiyur in Tiruchi.
3722,"August 06, 2015 00:00 IST",C. Jaisankar,Tiruchirapalli,Boy dies of suspected dengue,No Description
3723,"August 06, 2015 00:00 IST",Special Correspondent,Tiruchirapalli,“High risk surgery” performed at GH,No Description
3724,"August 06, 2015 00:00 IST",Special Correspondent,Tiruchirapalli,Rs. 5 cr. for sprucing up catering institute,No Description
3725,"March 29, 2016 13:34 IST",M. Srinivas,Vijayawada,Food court concept upsets hoteliers,The hotels-cum-restaurants and tiffin centres have registered at least 25 per cent drop in sales since the inception of the concept five months ago.
3726,"March 29, 2016 13:34 IST",P. Samuel Jonathan,Vijayawada,Freshers confirm ragging on campus,"""We have been ragged many times in the college as well as in the hostel. They (seniors) call us, order us to fetch them liquor and fooD."""
3727,"August 06, 2015 00:00 IST",Staff Reporter,Vijayawada,Plans afoot to divert Eluru Canal for airport expansion,No Description
3728,"August 06, 2015 00:00 IST",Staff Reporter,Vijayawada,State bandh if Centre fails to keep its promise: CPI,No Description
3729,"August 06, 2015 00:00 IST",Special Correspondent,Vijayawada,‘Durga flyover works to begin within 45 days’,No Description
3730,"August 06, 2015 00:00 IST",Staff Reporter,Vijayawada,"Porn CDs seized from cyber cafe, three held",No Description
3731,"August 06, 2015 00:00 IST",Special Correspondent,Vijayawada,Chaos at VMC council meet,Mayor suspends10 YSRC corporators for disrupting House proceedings
3732,"August 06, 2015 00:00 IST",Staff Reporter,Vijayawada,AB introduces 3 insurance linked deposit schemes,No Description
3733,"August 06, 2015 00:00 IST",Staff Reporter,Vijayawada,Sai Rupa had attempted suicide on two previous occasions: police,No Description
3734,"August 06, 2015 00:00 IST",Special Correspondent,Vijayawada,"A boon to us, say vendors",No Description
3735,"August 06, 2015 00:00 IST",P. Sujatha Varma,Vijayawada,Beautification eludes Gandhi Hill,No Description
3736,"March 29, 2016 13:24 IST","August 06, 2015 04:09 IST",Archives,"From the archives (dated August 6, 1965)",No Description
3737,"March 29, 2016 13:34 IST","August 06, 2015 13:45 IST",Brainteasers,Rebus 940,"Any representation of a word or a phrase by pictures, symbols, etc. that suggest that word or phrase or its syllables is called a ""Rebus"". Above is today’s question:"
3738,"March 29, 2016 13:36 IST",Neduntheru,Friday Review,With immediate appeal,No Description
3739,"August 06, 2015 21:08 IST",Meena T. Pillai,Friday Review,Retelling the many Ramayanas,B. Sandhya’s Ithihasathinte Ithalukal is a subaltern rendering of the Ramayana.
3740,"August 06, 2015 21:01 IST",Liza George,Friday Review,A free spirit,Pernia Qureshi turns actress in Muzaffar Ali’s Jaanisaar. The multi-faceted Pernia talks about playing Noor and what’s next on her list.
3741,"August 06, 2015 21:00 IST",P. K. AJITH KUMAR,Friday Review,Remya is back in action,Actor-singer Remya Nambeesan has her hands full these days.
3742,"August 06, 2015 20:59 IST",Saraswathy Nagarajan,Friday Review,Frankly speaking…,Balachandra Menon’s new film Njan Samvidhanam Cheyyum is releasing soon and the actor-director is in a buoyant mood. He tells what is special about his kind of films and filmmaking.
3743,"March 29, 2016 13:36 IST",Anuj Kumar,Friday Review,The return of the maverick,"As “Jaanisaar” opens in theatres this Friday, director Muzaffar Ali reflects on the value of composite culture and the gradual demise of poetry and mysticism."
3744,"March 29, 2016 13:36 IST",S. RAVI,Friday Review,Grace and grit,"Returning to the small screen after a short gap, Anita Raj describes her role in “Ek Tha Raja Ek Thi Rani” as meaningful."
3745,"March 29, 2016 13:36 IST",SHAILAJA TRIPATHI,Friday Review,On course and beyond,American professor Kathryn Myers’ short videos on contemporary Indian artists shot for her students have found other audiences too
3746,"March 29, 2016 13:36 IST",DEEPA GANESH,Friday Review,In a musical space called faith,The inimitable maestro Vasundhara Komkali is no more. This great musician was the companion of the legendary Kumar Gandharva in every sense of the word
3747,"March 29, 2016 13:36 IST","August 06, 2015 20:41 IST",Friday Review,Between home and the world,"Yashwanth Chittal, among Kannada’s best fiction writers, would have turned 87 on August 3 had he been alive. We remember the extraordinary writer, who lived in faraway Mumbai and made writing the mission of his life"
3748,"March 29, 2016 13:36 IST",Shafey Kidwai,Friday Review,Making sense of Sanskrit,Dr. Laxmichand Deveriya has come up with a methodology where speaker can learn a language by emulating vocabulary and syntax structures without having any active awareness of grammar.
3749,"March 29, 2016 13:36 IST",MEGHNA KHANNA,Friday Review,No playacting,No Description
3750,"March 29, 2016 13:36 IST",Archana Nathan,Friday Review,In the guru’s footsteps,"At a recent seminar on guru-shishya parampara, practitioners recalled how their gurus were more than just teachers to them"
3751,"March 29, 2016 13:36 IST",Deepa Ganesh,Friday Review,In the heart of Kannada,"Karnataka is the only state where the language of the land lives with several other languages. But, doesn’t co-existence mean more than living together, asks Deepa Ganesh"
3752,"March 29, 2016 13:36 IST","August 06, 2015 20:35 IST",Friday Review,Banphool (1971),No Description
3753,"March 29, 2016 13:36 IST",Sudhamahi Regunathan,Friday Review,Disaster through the lens,Peep into the multi-layered world of noted filmmaker Hayao Miyasaki
3754,"March 29, 2016 13:36 IST",S. Shivakumar,Friday Review,The stars call the shots,"The producer of a film, who was earlier the boss, has to now bow down to the stars and match the astronomical pay they demand, writes S. Shivakumar"
3755,"March 29, 2016 13:35 IST",Y. Sunita Chowdhary,Friday Review,All set for Telugu cinema,"Chaswa, who makes his debut in ‘Hora Hori’, is a trained theatre actor."
3756,"September 22, 2016 23:02 IST",Lalithaa Krishnan,Friday Review,Marionette Messengers,The writer meets two Korean artists who blend puppetry and traditional storytelling techniques to share a few home truths.
3757,"March 29, 2016 13:35 IST",Suganthy Krishnamachari,Friday Review,"Down to earth, literally","Everything about my book is honest, says Melanmai Ponnusamy."
3758,"March 29, 2016 13:34 IST",Pushpa Chari,Friday Review,Hand-woven heritage,"A 5,000-year-old tradition is being celebrated today as ‘Handloom Day,’ writes Pushpa Chari"
3759,"March 29, 2016 13:47 IST",Hema Iyer Ramani,Friday Review,"‘A cartoonist is born, not made’","From being a cartoonist to writing dialogue for movies and hosting TV shows, Madan’s journey has been phenomenal. Hema Iyer Ramani traces it."
3760,"March 29, 2016 13:36 IST",ANASUYA BASU,Art,War of dharma revisited,Noted artist Naresh Kapuria recreates the last battle of the Mahabharata.
3761,"August 06, 2015 21:06 IST",T. K. Sadasivan,Dance,The ascent of Ravana,Sadanam Krishnankutty came up with a powerful portrayal of Ravana in ‘Ravanolbhavam’.
3762,"August 06, 2015 21:05 IST",A. Sangameswaran,Dance,Being Ravana,"Ravanothsavam, a 10-day festival at Irinjalakuda, portrayed the myriad facets of Ravana."
3763,"March 29, 2016 13:36 IST",SUNIL KOTHARI,Dance,"Young, able and willing","At the recently concluded Raindrops Festival of Indian Classical Dance, youngsters tried their best to live up to the expectations of their mentors."
3764,"March 29, 2016 13:35 IST",Shyamhari Chankra,Dance,A late yet justified honour for Guru Sudhakar Sahoo,The Sangeet Natak Akademi award has eluded Odissi exponent Guru Sudhakar Sahoo for long but he’s now happy for the recognition.
3765,"March 29, 2016 13:35 IST",B. Ramadevi,Dance,Plenty of sparkle and skill,"Young dancers showcased their talent and training at the Pollachi Tamilisai Sangam’s festival, reports B. Ramadevi."
3766,"March 29, 2016 13:35 IST",Gudipoodi Srihari,Dance,‘Evils’ portrayed through a ballet,The depiction of ‘six evils’ was an interesting narrative through a Kuchipudi ballet.
3767,"March 29, 2016 13:34 IST",V. V. Ramani,Dance,Emotions conveyed with elegance,Subtle abhinaya and effortless jathis made Samyuktha’s performance enjoyable.
3768,"August 06, 2015 13:40 IST",PTI,Hockey,Treasure trove of Indian hockey’s Olympic history lost,"The donated items, meant for a proposed museum which never came about, included an Olympic blazer, medals and rare pictures."
3769,"March 29, 2016 13:36 IST","August 06, 2015 21:48 IST",Faith,Listing His qualities,No Description
3770,"March 29, 2016 13:34 IST",S. Prabhu,Faith,The tank is sacred here,No Description
3771,"March 29, 2016 13:36 IST",J. S. Ifthekhar,History & Culture,Destination Warangal,The city’s cultural heritage is to get a boost under HRIDAY project
3772,"March 29, 2016 13:34 IST",Dr. R. Nagaswamy,History & Culture,Sanskrit as a unifying factor,Bharata’s Natya Sastra is much more than a treatise on dance. Here is why.
3773,"August 06, 2015 21:04 IST",G. S. Paul,Music,Drumming up a beat,Uhei Motoyama is on a mission to popularise Taiko. He talks about the nuances of the instrument and his journey in pursuing the traditional art form.
3774,"March 29, 2016 13:36 IST",Anjana Rajan,Music,"Some reflection, some projection","“Unmukha”, a music and dance festival presented at New Delhi’s Triveni Kala Sangam recently, offered a chance for The Yoga And Art Group to showcase the viability of its teaching methodology."
3775,"March 29, 2016 13:35 IST",Velcheti Subrahmanyam,Music,An enriching tribute to Narayana Theertha,"Sumitra Vasudeva’s rendition of tarangams for the 440th anniversary of Narayana Theertha had lyrical grace, musical finesse and devotion."
3776,"March 29, 2016 13:35 IST",P. Surya Rao,Music,Sadasiva Sastri’s rendition steeped with devotion,Vocalist Sadasiva Sastri’s concert spanning two hours had him render nearly 20 bhakthi kirtanas.
3777,"March 29, 2016 13:35 IST",Gudipoodi Srihari,Music,A young talent on display,"Young Achyuta Raju displayed his prodigious talent, singing for Sangeetha Ksheerasagaram."
3778,"March 29, 2016 13:35 IST",Gudipoodi Srihari,Music,T.N.S Krishna pays tribute to Vinjamuri in cenetary celebrations,T.N.S Krishna's melodious concert marked Vinjamuri’s centenary celebrations.
3779,"March 29, 2016 13:34 IST",Garimella Subramaniam,Music,Nuances highlighted,Sugandha Kalamegham’s choice of Sanskrit kritis covered a range of composers.
3780,"March 29, 2016 13:34 IST",M. Lalitha M. Nandini,Music,Ravana’s fiddle,No Description
3781,"March 29, 2016 13:34 IST",V. Balasubramanian,Music,Light and classical hand in hand,R. Parthasarathy on his love for the veena and playing for films.
3782,"August 06, 2015 12:43 IST",IANS,Science,NASA camera reveals dark side of moon,"The images show the fully illuminated ""dark side"" of the moon that is never visible from Earth."
3783,"August 06, 2015 12:01 IST",IANS,Science,Milky Way like galaxies existed in early universe,"Using a new, large-scale computer simulation, researchers have discovered that Milky Way-like galaxies may have existed in the early universe."
3784,"August 07, 2015 17:48 IST",PTI,Other Sports,Hit by spasms Lahiri cards disappointing 77 at WGC,No Description
3785,"April 21, 2017 17:59 IST","August 07, 2015 15:19 IST",Other Sports,Bolt versus Gatlin showdown in World Championships,No Description
3786,"August 07, 2015 13:43 IST",AP,Other Sports,Notice to Phelps: Cseh sets best time in 100-m butterfly,No Description
3787,"August 07, 2015 17:53 IST","Pune:,",Races,Aquamarine runs with a good chance,No Description
3788,"August 07, 2015 17:53 IST","Pune:,",Races,Miss USA and Confiance catch the eye,No Description
3789,"August 07, 2015 16:26 IST",IANS,Technology,NASA to shell out $490 mn for astronauts launch on Russian rocket,No Description
3790,"March 29, 2016 13:49 IST",S. RAVI,Metroplus,Ghost protocol,"As ""Bhangarh To Bedlam"" hits the stands, author Deepta Roy Chakraverti urges readers to separate the paranormal from the superstitious"
3791,"March 29, 2016 14:00 IST",Anuj Kumar,Metroplus,"Bangistan: Potent idea, poor execution",No Description
3792,"March 29, 2016 14:00 IST",Kuldeep Kumar,Metroplus,The shine beyond darkness,"As we celebrate his birth centenary, let’s look back at the humanism and humility that Bhisham Sahni exuded in life and his works"
3793,"March 29, 2016 13:49 IST",SHAILAJA TRIPATHI,Metroplus,Keeping the flavours intact,Two 100-year-old compositions that Malini Awasthi has sung in “Jaanisaar” have been kept as close to the original as possible
3794,"March 29, 2016 14:00 IST",Anuj Kumar,Metroplus,Mission Impossible - Rogue Nation: Fun on the run,No Description
3795,"March 29, 2016 13:49 IST",Nivedita Ganguly,Metroplus,‘Vizag has great potential to be an alternate film hub’,"The director, who was in Vizag to shoot some scenes of his upcoming film Killing Veerappan, shares his views"
3796,"March 29, 2016 13:49 IST",Nahla Nainar,Metroplus,Artful lines from a master,"Meet Jeyaraj, the artist who wears his mantle of ‘rockstar illustrator’ quite lightly"
3797,"August 07, 2015 16:50 IST",ALLAN MOSES RODRICKS,Metroplus,Utsav Lal: A brave new sonic world,Raga pianist Utsav Lal talks of his experience of recording the world’s first Indian raga album on the fluid piano
3798,"August 07, 2015 16:46 IST",Lavanya Mohan,Metroplus,Cooking up a storm,No Description
3799,"September 24, 2015 17:39 IST",Susanna Myrtle Lazarus,Metroplus,Jane and the chocolate factory: on the making of Mason & Co Chocolate from Auroville,Tracing the journey of vegan dark chocolate from bean to bar in Auroville
3800,"August 07, 2015 16:42 IST",Anasuya Menon,Metroplus,From roots to stylish routes,"With traditional fabrics giving shape to trendy silhouettes , ANASUYA MENON finds that fashion is going local and how."
3801,"August 07, 2015 16:42 IST",NAVEEN MENEZES,Metroplus,This house is brimming with antiques,"John Tauro has converted his home into a museum with rare artefacts and masks, painstakingly collected over 40 years"
3802,"August 07, 2015 16:42 IST",ROSHNI JACOB,Metroplus,Artist documents Bengaluru hip hop scene,"German photographer and BangaloREsident, Paul Hutchinson captures the city’s hip hop scene and its nuances on film"
3803,"August 07, 2015 16:40 IST",SHRUTILAYA RAMANATHAN,Metroplus,"Say goodbye to contouring, and hello to strobing",No Description
3804,"August 07, 2015 16:39 IST",SHILPA SEBASTIAN R.,Metroplus,"Of family, bank balance and loved ones",No Description
3805,"August 07, 2015 16:38 IST",SULAKSHANA BADANI,Metroplus,Dating dos and don’ts,No Description
3806,"August 07, 2015 16:35 IST",VISHWA DAVE,Metroplus,Short and sweet,No Description
3807,"August 07, 2015 16:32 IST",DIVYA SRINIVASAN,Metroplus,Activate your chakras,No Description
3808,"August 07, 2015 16:29 IST",Anubhuti Krishna,Metroplus,Muddy boots and memories of Coorg,"ANUBHUTI KRISHNA grudgingly climbs through slippery rocks and hills, but the heady aroma of coffee keeps her going"
3809,"August 07, 2015 16:24 IST","Chennai,",Metroplus,A night out with tigers,Wildlife and verdant vistas beckon at the Singinawa Jungle Lodge
3810,"August 07, 2015 16:19 IST",PRINCESS NAIK,Metroplus,Quebec’s garlic fixation,"At this unique festival, indulge in a variety of flavoured delicacies, but do remember to carry your mouth freshener"
3811,"August 07, 2015 16:15 IST",Srinivasa Ramanujam,Metroplus,Brothers in Tamil and Telugu soon,"Hollywood film 'Warrior' to be remade in Hindi, Tamil and Telugu."
3812,"August 07, 2015 15:05 IST",Sudhir Srinivasan,Metroplus,The numbers game,No Description
3813,"August 07, 2015 23:43 IST",AP,International,At least 20 killed in suicide bombing at Kabul police academy,No Description
3814,"August 07, 2015 20:41 IST",AP,International,"After capturing Syrian town, IS abducts dozens of Christians",No Description
3815,"Mali,",AP,International,"Jihadists attack hotel in central Mali, several dead",No Description
3816,"August 07, 2015 20:03 IST",AP,International,"US economy added 215,000 jobs in July; unemployment 5.3%",No Description
3817,"August 07, 2015 19:51 IST",AP,International,Afghan president condemns bombing in Kabul residential area,No Description
3818,"August 07, 2015 18:29 IST",PTI,International,Sikhs to take mandatory permission before leaving Pakistan,"Earlier, there had been no such restriction on the Pakistani Sikhs."
3819,"August 07, 2015 18:17 IST",AP,International,F1 driver Button says he was burgled in French Riviera villa,No Description
3820,"March 29, 2016 13:49 IST",AP,International,"Kerry 'profoundly disagrees' with Schumer, Engel on Iran","Mr. Schumer is the first Democratic senator to say he will vote no on the deal, which would curb Iran’s nuclear program."
3821,"August 07, 2015 15:50 IST",Haroon Habib,International,Fourth secular blogger hacked to death in Bangladesh,No Description
3822,"August 07, 2015 13:36 IST",AP,International,"Earthquake rocks eastern Congo, killing 2 children",No Description
3823,"August 07, 2015 12:39 IST",PTI,International,"Abbott backs Adani mine, says sabotaging of projects dangerous",No Description
3824,"March 29, 2016 13:49 IST",AP,International,Senate Democrat Schumer to oppose Iran n-deal,No Description
3825,"August 07, 2015 10:23 IST",Narayan Lakshman,International,Crowded Republican debate yields no clear winner,"The primary debates organised by Fox News channel and Facebook, in Cleveland, Ohio, on Thursday."
3826,"August 07, 2015 09:15 IST",AP,International,Swiss find remains of 2 Japanese climbers missing since 1970,No Description
3827,"August 07, 2015 08:57 IST",IANS,International,Brazilian radio host slain on the air,No Description
3828,"August 07, 2015 08:49 IST",Reuters,International,Taiwan braces as strongest typhoon in two years churns towards island,"Typhoon Soudelor has already claimed its first victims, with two people dead and one missing in choppy waters off the coast of Taiwan"
3829,"August 07, 2015 08:23 IST",AP,International,North Korea to set clocks back 30 minutes from the South Korea,No Description
3830,"August 07, 2015 07:26 IST",PTI,International,Will provide real leadership to America: Jindal,"Jindal, 44, whose parents immigrated to the United States from Punjab before he was born, is the first Indian-American to ever run for a US Presidential elections."
3831,"March 29, 2016 13:47 IST",AP,International,"Afghan military helicopter crashes, killing 17","The Taliban statement, posted on their website, said the helicopter was ""shot down with a rocket launcher."""
3832,"August 07, 2015 03:37 IST",Reuters,International,Powerful car bomb rattles Kabul,No Description
3833,"August 07, 2015 00:13 IST",Atul Aneja  ,International,China and Iran may barter weapons for oil,No Description
3834,"August 07, 2015 00:10 IST",T. Ramakrishnan,International,"An uneasy quiet prevails in Mannar, six years after the war",No Description
3835,"March 29, 2016 13:49 IST",S. M. AAMIR,Events,Anything for dance,"Naach, an upcoming ten-part series on bindaas, highlights the trials and tribulations of three young dancers"
3836,"August 07, 2015 15:56 IST",Srivathsan Nadadhur,Events,"Pro Kabaddi: Regional flavour, global reach",The popularity for the Pro Kabaddi tournament is giving the sport an immense regional impetus
3837,"March 29, 2016 13:49 IST",MADHUR TANKHA,Fashion,Kanjeevaram on the ramp,Designer duo of Ashima-Leena will showcase Kanjeevaram saris at the BMW India Bridal Fashion Week this Saturday
3838,"August 07, 2015 21:17 IST",Nita Sathyendran,Fashion,Gowns about town,It’s the season for gowns
3839,"August 07, 2015 17:08 IST",A. Shrikumar,Fashion,Full of blossom,Aromatherapy specialist Blossom Kochhar says beauty and wellbeing is more a necessity than lifestyle
3840,"March 29, 2016 13:49 IST","August 07, 2015 20:13 IST",Entertainment,Bobby gets Rajinikanth’s title,Bobby's next film titled 'Veera' will be directed by K. Rajaraman.
3841,"March 29, 2016 13:49 IST","August 07, 2015 20:11 IST",Entertainment,Rahman joins Weekender line-up,No Description
3842,"August 07, 2015 17:26 IST",PTI,Entertainment,Deepika not offered film with Hrithik,No Description
3843,"August 07, 2015 17:03 IST",T. Saravanan,Entertainment,Playing on home ground,Director S.R. Prabhakaran of Sundarapandian fame says realistic scripts and rustic storylines are his forte
3844,"August 07, 2015 16:37 IST",IANS,Entertainment,Sonam Kapoor to walk for Abu Jani Sandeep Khosla at IBFW,No Description
3845,"August 07, 2015 16:35 IST",PTI,Entertainment,Beyonce launches new temporary tattoo collection,No Description
3846,"August 07, 2015 16:20 IST",PTI,Entertainment,Shah Rukh Khan wraps ‘Fan’ shoot,No Description
3847,"August 07, 2015 01:00 IST",Reuters,Entertainment,Jennifer Aniston weds Justin Theroux in LA,No Description
3848,"August 07, 2015 00:20 IST",IANS,Entertainment,Edinburgh to march to Bollywood tunes,No Description
3849,"March 29, 2016 13:36 IST",PTI,Entertainment,Split and a sabbatical,No Description
3850,"March 29, 2016 13:36 IST",IANS,Entertainment,Malhotra excited by Ki and Ka,No Description
3851,"March 29, 2016 13:49 IST",RAHUL VERMA,Food,Soft khamiri rotis and a thick korma gravy,"For korma-biryani lovers in and around Shastri Bhawan, Harman’s eatery is good news"
3852,"August 07, 2015 17:29 IST",Shanthini Rajkumar,Food,Lilliputian delights,A bite-sized option is the smartest way to minimal indulgence
3853,"August 07, 2015 16:27 IST",P. Sujatha Varma,Food,A new world of TASTE,New restaurant chains and stand alone eateries are set to change the city’s foodscape
3854,"August 07, 2015 16:13 IST",Nivedita Ganguly,Food,Kicking off a chocolaty affair,A growing cadre of artisan chocolateirs are carving out an entire world from handmade chocolates
3855,"August 07, 2015 16:01 IST",Prabalika M. Borah,Food,"Have kit, will cook","If you are yearning for gourmet dishes made at home, these boxes with pre-portioned ingredients, all wrapped and sealed in a box could come in handy"
3856,"March 29, 2016 13:49 IST",Shonali Muthalaly,Food,"Mana Andhra: Treats from the Telugu heartland, in Chennai",The writer samples the fare and finds out the story behind Chennai’s latest Andhra restaurant
3857,"March 29, 2016 13:49 IST",Vandana Shiva,Food,Vandana Shiva's Desi Superfoods: Jackfruit,"The versatile jackfruit is nutrition-dense, and can be used as both a fruit and a vegetable"
3858,"March 29, 2016 13:49 IST","August 07, 2015 15:29 IST",Food,Be inspired by the kitchen,No Description
3859,"August 07, 2015 17:23 IST",K. Jeshi,Motoring,When Ratan Tata said YES,"You have to be daring and think out-of-the-box, says Hemalatha Annamalai of Ampere Vehicles whose social consciousness caught the attention of Ratan Tata"
3860,"March 29, 2016 14:00 IST",Baradwaj Rangan,Reviews,Chandi Veeran: A disappointingly generic drama,No Description
3861,"March 29, 2016 14:00 IST",Sangeetha Devi Dundoo,Reviews,Srimanthudu: Back to the roots,No Description
3862,"August 07, 2015 23:56 IST",Reuters,Business,Sunlife eyes bigger stake in India’s insurance venture,No Description
3863,"August 07, 2015 23:55 IST",PTI,Business,Sensex down 62 points,No Description
3864,"August 07, 2015 23:53 IST","NEW DELHI,",Business,SEBI board to discuss SIT suggestions on black money fight,No Description
3865,"August 07, 2015 23:43 IST",PTI,Business,Maruti to have a high number of new model launches,No Description
3866,"August 07, 2015 23:35 IST",S. Varadharajan,Business,BHEL commissions 500 MW thermal unit at Vindhyachal,No Description
3867,"August 07, 2015 23:29 IST","MUMBAI:,",Business,Prudential unit buys Deutsche India fund management business,No Description
3868,"August 07, 2015 23:28 IST",PTI,Business,"Mutual funds: service tax on fund houses, not their agents",No Description
3869,"August 07, 2015 23:26 IST",PTI,Business,New Baleno to make its debut at Frankfurt show,No Description
3870,"August 07, 2015 23:25 IST",PTI,Business,Pramerica AMC to acquire Deutsche’s India AMC biz,No Description
3871,"March 29, 2016 13:49 IST",Reuters,Business,Investor Ackman takes $5.5 b stake in Cadbury owner Mondelez,No Description
3872,"August 07, 2015 23:22 IST",G. Balachandar,Business,Eicher Polaris JV in talks to tie up financing for Multix,"Multix, which converts between a small car with space for family of 5 and a small truck with storage space, is expected to create its own set of buyers."
3873,"August 07, 2015 23:21 IST",N. Anand,Business,TVS Motor to wind up two overseas entities,No Description
3874,"August 07, 2015 23:17 IST",Sriram Lakshman,Business,Banks told to be sensitive to needs of MSMEs,"MSMEs are crucial to the country’s economy, contributing some 45 per cent of manufacturing output, 40 per cent of exports and almost 8 per cent of GDP."
3875,"August 07, 2015 23:16 IST",Anil Kumar Sastry,Business,Corporation Bank offers instant loan facility,No Description
3876,"August 07, 2015 23:15 IST",Ramnath Subbu,Business,Tata Motors’ Q1 profit halves on lacklustre JLR sales in China,"The passenger vehicle sales benefited from the new launches like the Zest, Bolt and Nano GenX and domestic sales grew 27.4 per cent with the car segment growing 42.2 per cent."
3877,"August 07, 2015 23:02 IST",Lalatendu Mishra,Business,"Thomas Cook India to buy Kuoni India, HK",No Description
3878,"August 07, 2015 22:59 IST",Sanjay Vijayakumar,Business,Domestic airlines plan 14 per cent more flights in winter 2015-16,"Globally, airlines follow a winter and summer schedule. The winter timetable runs from the last Sunday in October to the last Sunday in March of the following year, and the summer schedule extends for the rest of the year."
3879,"August 07, 2015 22:56 IST",Ramnath Subbu,Business,Slowdown hits M&M’s Q1 profit,"While the passenger vehicle market grew eight per cent driven by the car segment, the UV segment continued to be under pressure"
3880,"August 07, 2015 22:55 IST",Lalatendu Mishra,Business,Grasim Q1 net remains flat,No Description
3881,"August 07, 2015 22:54 IST",Reuters,Business,IBM to buy Merge Healthcare in $1 b deal,"To combine it with its newly-formed health analytics unit, which is powered by its famous Watson supercomputer"
3882,"August 07, 2015 22:52 IST",S. Varadharajan,Business,Power Mech Projects raises Rs.82 crore,No Description
3883,"August 07, 2015 18:34 IST",PTI,Business,"Service tax liability on mutual funds, not their agents",No Description
3884,"March 29, 2016 13:48 IST",PTI,Business,Sensex gains 29 points in opening trade,No Description
3885,"August 07, 2015 09:48 IST",PTI,Business,Rupee was marginally down by 2 paise against the US dollar in early trade,Dealers attributed the rupee’s fall to dollar gains against other currencies overseas
3886,"March 29, 2016 13:52 IST","August 07, 2015 14:39 IST",Resources,Full text of the split verdict on the Yakub Memon curative petition,No Description
3887,"March 29, 2016 13:52 IST","August 07, 2015 14:38 IST",Resources,Full text of the judgement on the Yakub Memon curative petition delivered at 4.15 p.m.,No Description
3888,"March 29, 2016 13:52 IST","August 07, 2015 14:38 IST",Resources,Full text of the final 14 page judgement on the Yakub Memon curative petition,No Description
3889,"August 07, 2015 20:09 IST",PTI,National,NE States to be taken into confidence before final Naga pact,"Assam, Arunachal Pradesh, Manipur CMs say they were not consulted on Naga accord; will not cede an inch of their land."
3890,"August 07, 2015 20:01 IST",PTI,National,India to boycott CPU meeting in Pakistan,This follows Pakistan not sending an invitation to J&K Speaker to the Inter Parliamentary Union meeting to be held from Sept 30 to Oct 8 in Islamabad.
3891,"August 07, 2015 19:01 IST",PTI,National,West Bengal BJP to restructure organisation with Assembly poll in mind,"Apart from having a state president, the party will have a bigger core group, each member of which will be assigned with a specific responsibility."
3892,"August 07, 2015 16:55 IST",PTI,National,RS fails to transact business for yet another week,Congress members stormed the Well protesting the suspension of 25 MPs in LS and demanded resignation of those involved in the Lalit Modi controversy and Vyapam scam.
3893,"August 07, 2015 16:40 IST",PTI,National,Not restarted consultation on Women Reservation Bill: Govt,Law Minister D V Sadananda Gowda said it has been the endeavour of the government to provide for reservation of one-third seats for women.
3894,"August 07, 2015 16:31 IST",Syed Sajjad Ali,National,Tripura assembly passes resolution against death penalty,Congress MLA Jitendra Sarkar moved a motion in the assembly in its opening day on Friday against death penalty and asked to replace it with life sentence unto death.
3895,"August 07, 2015 16:04 IST",PTI,National,Terror claimed lives of over 200 defence personnel,"In 2014, 56 defence personnel were martyred and this year, till August 3, 30 have been killed."
3896,"August 07, 2015 15:40 IST",PTI,National,"Govt to allow Aadhaar enrolments of NRIs, PIOs, OICs","However, no timeframe has been formulated at this stage for achieving the goal."
3897,"August 07, 2015 14:20 IST",PTI,National,"BJP slams Sonia, Rahul after attack on Sushma",The verbal duel between the two parties escalated with both Sonia and Rahul Gandhi making sharp comments against Sushma Swaraj.
3898,"August 07, 2015 12:51 IST",PTI,National,Martyred BSF soldier cremated,No Description
3899,"August 07, 2015 12:23 IST",Special Correspondent,National,Goa Minister Parulekar land-grab-case adjourned ,At the previous hearing Judge B.P Deshpande had rapped the IO saying that all was not well with the Crime Branch probe
